time,density,kinetic_energy,fluid_viscosity,boundary_viscosity,fluid_depth,rest_density_grid_spacing,smoothing_length,rest_density,time_step_size,solver_iterations,relaxation_factor,time_step_wall_clock_time,predicted_density_error
10.27,900.5825187536393,219.0075226127271,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013391917,0.06420778569171552
10.28,900.5805801766734,218.22821518113582,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014357663,0.06436477140047064
10.290000000000001,900.5818724175145,217.511539387837,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.015089868,0.06504410228595951
10.3,900.5878241059094,216.90960405654343,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013464218,0.06620915285189238
10.31,900.5987750977325,216.51186582279792,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013906371,0.06807793210159234
10.32,900.6157399440989,216.34362992542495,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014357134,0.07060002963759285
10.33,900.6387077770465,216.42479199817325,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013624499,0.07378927350704101
10.34,900.667443141503,216.52228674130401,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013405307,0.07731712883705347
10.35,900.6990721492325,216.9911281104807,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014268333,0.08077662970031713
10.36,900.7302337616358,217.9043335107973,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.01379694,0.08391980566459922
10.370000000000001,900.7583948038664,219.21974676571642,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.01389102,0.08636488909064814
10.38,900.7801655430941,221.02356006410315,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014677365,0.08776060312846422
10.39,900.7924586519596,223.17052802385317,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014027151,0.08773237894434574
10.4,900.792591583366,225.33258627572926,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.01374595,0.08623193096538562
10.41,900.7790397442797,227.2712807958026,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014422754,0.08309965297955078
10.42,900.7511276410459,229.02281163753764,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013368347,0.07867032497327611
10.43,900.7115193294786,230.10221524973866,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013677179,0.07334609263213336
10.44,900.663983614023,230.28182224501995,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.015199018,0.0677337193359981
10.450000000000001,900.613183193138,229.18488745290563,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013520778,0.06213866917395837
10.46,900.5632108342933,227.36928154778056,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013469878,0.05721705103440422
10.47,900.5199242575324,224.81441322215454,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014486284,0.05390173229024577
10.48,900.4899944130833,221.8989311655397,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013556679,0.05274986423469444
10.49,900.4783190778824,218.99277607072946,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013573719,0.05365273065939506
10.5,900.487190972502,216.4790903228002,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.016029343,0.05690968612555175
10.51,900.5163450831727,214.43569426099666,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013176986,0.06216536747295059
10.52,900.5618184278807,212.967594837302,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.013171146,0.06830107985819595
10.53,900.6178050545923,212.2191609165863,0.2,0.2,20.249999999999996,0.8,0.8,900.0,0.01,10,0.6,0.014600505,0.07518319913314431
